"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L1 CENTRAL SEQUENCE","65.13165","65.13165","-50.16753","-50.16753","SAE","","","s_15-05 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","39.5","0.04","","4.51","0.716","","","7.69","0.34","35.43","0.07","","0","0","0","","","","","","","","","","","","","","","","11.61","","","","","","","","","","","","","","8.60306847521003E-02","0","","","","","","","","","","","","","16.2214120849354","","60","7492.57542916744","","","119.9","1491.44462815069","0","64.2759102605269","3.47094654735441","","0.7","0","","0.4","0.437601002728754","1.22179078458061","3.3","8.10606491638011E-02","0.446608398212994","7.56193664912803E-03","3.97254275046095E-03","7.9013311026511E-04","0","0","","0","0","","","0.10690871875015","0.262236976474616","5.92521739803338E-02","0.164445672053094","0","0","4.52380757806323E-02","0.015961588064394","0","1.83726153228293E-02","0.149834642158812","4.01571258223342E-02","0.14","0","0.33","2.85281392741233E-02","2.43875251772878E-02","0","0","","4.51452447242498E-04","6.87754411172399E-04","5.8001081279933E-03","0.0024","0","5.39826701339637E-04","0.508452965686505","0","0","4.21381104362165E-03","","","","","","","","","","","","","","","","","","","","","","","","","941695",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L4 CENTRAL SEQUENCE","65.0940667","65.0940667","-50.1209333","-50.1209333","SAE","","","s_20-07A [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","42.4","0.12","","8.81","0.624","","","8.81","6.47","25.33","0.09","","0","0.02","0","","","","","","","","","","","","","","","","6.64","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","157","","","","96.9","252.8","0.3","10","7.9","","0","0","","0.3","5","4.9","7.8","1.8","0","","","","0","0","","0","0","","","0","7","0.9","1.1","0.19","0.8","0.14","0.05","0.43","0.08","0.54","0.13","0.61","0.08","0.57","0.11","0.3","0","0","","","","","0","0","0","0.2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","941696",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L4 CENTRAL SEQUENCE","65.0940667","65.0940667","-50.1209333","-50.1209333","SAE","","","s_20-07D [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","42.6","0.12","","8.62","0.618","","","8.94","6.58","25.46","0.09","","0","0.04","0","","","","","","","","","","","","","","","","6.48","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","131","","","","90.9","168.8","0.5","7","6.7","","0","0","","0","2.1","4.4","5.3","0","0","4.71287620204985E-03","1.06599027955788E-03","1.94811476321594E-03","0","0","","0","0","","","0","0","0.5","0.7","0.73","0.7","0.19","0.03","0.13","0.07","0.6","0.13","0.62","0.07","0.66","0.13","0.1","0","0","","5.73088611694706E-04","7.3776477669961E-04","5.45413708327885E-03","0.003","0","0","0.2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","941697",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L2 CENTRAL SEQUENCE","65.1033167","65.1033167","-50.1615167","-50.1615167","SAE","","","s_28-05 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","45.6","0.1","","7.93","0.231","","","8.74","4.49","26.72","0.19","","0","0.02","0","","","","","","","","","","","","","","","","5.97","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","91","","","","86.6","101.9","1.1","6","5.4","","0.7","0","","0","1.2","8","5.8","0","0","2.67217465139946E-03","1.2556914252771E-03","4.81090705762684E-03","0","0","","0","0","","","0","0","0.4","3.1","0.15","0.8","0.25","0.02","0.5","0.12","1.16","0.29","0.86","0.13","1.16","0.15","0.2","0","0","","1.24876198666285E-04","2.31779940736213E-04","7.2999663946727E-03","0.0021","0","0","0.3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","941698",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L2 CENTRAL SEQUENCE","65.103","65.103","-50.1611167","-50.1611167","SAE","","","s_ECP01-10 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","40.3","0.06","","6.58","0.697","","","8.66","2.85","33.31","0.15","","0","0.01","0","","","","","","","","","","","","","","","","7.29","","","","","","","","","","","","","","0.939918991234828","0","","","","","","","","","","","","","20.4317266726773","","92","7101.23134657215","","","91.0200399190207","1025.5","16.2924895837655","69.033270754649","4.62316284235816","","0","0","","0","4.73223623651965","3.84171687369227","3.9","0","7.67128108970544E-02","6.66335183788587E-03","1.53698341152953E-03","4.73148747287719E-03","0","0","","0","0","","","0","0.13902508641791","0","0.4","0.03","0.297938623966836","0.06","0","0.24","5.37862434206261E-02","0.41","0.09","0.41169529105334","0.06","0.59","0.09","1.77335052757571E-02","0","0.8","","1.27764293163953E-03","1.36527709627037E-03","5.9141179617827E-03","0.0057","0","0","0.4","0","0","2.42054375432803E-03","","","","","","","","","","","","","","","","","","","","","","","","","941699",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","INNER SEQUENCE","65.1317083","65.1317083","-50.1634417","-50.1634417","SAE","","","s_ECP03-10B [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","35.8","0.03","","3.71","0.521","","","10.28","0.2","34.75","0.15","","0","0","0","","","","","","","","","","","","","","","","14.33","","","","","","","","","","","","","","0.14025312553523","0","","","","","","","","","","","","","12.8915621697107","","54","5007.57191018897","","","132.6","1120.02202699785","0.4","67.4305825329623","2.89393911224813","","0.8","0","","0","0.257804606646831","0.966870187508915","1.3","7.63212485383581E-02","5.52335155982905E-02","6.1743018965445E-03","1.13042534246566E-03","0","0","0","","0","0","","","5.28638033859925E-02","0.188469481900627","4.47551043159836E-02","0.126896562194241","0","0","3.39192956425116E-02","1.05961170368538E-02","0","1.16846570164043E-02","0.108689265816095","3.25642186090829E-02","0.13","0","0.2","3.63682299716527E-02","3.83856860142265E-02","0","0.6","","1.53681302842101E-04","1.67336387861123E-04","1.46478358206956E-03","0.0039","0","7.66640901685391E-04","0.183893173255368","0","0","2.21575285706174E-02","","","","","","","","","","","","","","","","","","","","","","","","","941700",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","INNER SEQUENCE","65.1317083","65.1317083","-50.1634417","-50.1634417","SAE","","","s_ECP03-10B RUSTY [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","35.4","0.02","","3.6","0.527","","","10.61","0.38","34.31","0.15","","0","0","0","","","","","","","","","","","","","","","","14.35","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","58","","","","136.5","403.5","0.2","19","2.5","","0.8","0","","0.3","1.3","0.9","1.5","0","0","","","","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0.19","0","0.13","0","0.24","0.03","0","0","0","","","","","0.003","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","941701",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","LENS A","65.13965","65.13965","-50.1498333","-50.1498333","SAE","","","s_ECP08-09 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","40.6","0","","0.75","0.131","","","7.41","0.07","45.19","0.1","","0","0","0","","","","","","","","","","","","","","","","5.76","","","","","","","","","","","","","","2.2614275683132","4.50926342915513E-02","","","","","","","","","","","","","5.79624427658189","","17","1381.32114545735","","","105.2","2952","1","48.6016392043128","0","","0.6","0","","0","0.295739023093608","1.28226425544943","3.6","0","0.173554641675345","2.63488976762532E-03","2.61250783613324E-04","0","0","0","","0","0","","","0","0","0.182199134754526","0.490627612703933","7.45886981842523E-02","0.376567110174961","0.113968290275663","1.86359248805767E-02","0.17062282934384","0.02","0.173974886848544","3.92698816190467E-02","0.17","0","0.145181107667976","2.51115839389156E-02","0","0","0.9","","4.2903333050136E-04","3.91444120042679E-04","5.18140232546472E-04","0.0039","0.02","7.43993448737108E-04","1.06082347592724","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","941702",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L4 CENTRAL SEQUENCE","65.09445","65.09445","-50.1207667","-50.1207667","SAE","","","s_JEH-02 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","39.6","0.02","","3.12","0.7","","","10.55","1.02","41.75","0.17","","0","0.01","0","","","","","","","","","","","","","","","","2.85","","","","","","","","","","","","","","1.9968703534722","0.011083582733186","","","","","","","","","","","","","12.0048903710142","","66","6892.82177001796","","","138.210187917342","1706","2.24940438403953","72.5728073316488","2.51841142394417","","0.8","0","","0.2","0.892529087207886","1.41558582137963","2.3","0.7","0.102805388732196","","","","0","0","","0","0","","","0","2","0.100695257081783","0","0","0.161226461136235","0","0","0.08","1.84995882898391E-02","0.23","0.03","0.168714731345524","0.02","0.21","0.03","1.84261485038085E-02","0","0.7","","","","","0.0027","0","0","2.44305241502982","0","0","2.02888798525524E-03","","","","","","","","","","","","","","","","","","","","","","","","","941703",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L3 CENTRAL SEQUENCE","65.09745","65.09745","-50.1466167","-50.1466167","SAE","","","s_JEH-03 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","38","0.03","","3.92","0.55","","","9.26","0.22","36.18","0.14","","0","0","0","","","","","","","","","","","","","","","","11.67","","","","","","","","","","","","","","0.149485874660678","0","","","","","","","","","","","","","12.3695300470673","","59","5355.67164463942","","","128.2","842.4","1.11069737738362","70.0517215279736","2.77771000592793","","0.7","0","","0.14561951601961","0.84172769874067","1.67597174443705","2.4","1","6.22366930227892E-02","","","","0","0","","0","0","","","0.3","0.670998620520303","0.1","0.515887111938396","0.05","0.289820693647292","6.42430128638323E-02","0","0.06","2.21884239086314E-02","0.23","5.37213997085841E-02","0.203207719540086","0.03","0.2","0.02","2.33716824265641E-02","0","0.7","","","","","0.0027","0","3.74708973656412E-03","15.5970107723727","0","0","5.34474699323078E-03","","","","","","","","","","","","","","","","","","","","","","","","","941704",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","CENTRAL SEQUENCE","65.1146333","65.1146333","-50.1630833","-50.1630833","SAE","","","s_JEH-22 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","40.1","0.08","","6.98","0.735","","","8.89","2.54","33.42","0.16","","0","0","0","","","","","","","","","","","","","","","","6.95","","","","","","","","","","","","","","1.12241344468186","0","","","","","","","","","","","","","20.3307207221897","","107","7380.92330373112","","","95.9","1384.3","24.2938032176236","68.2776873734305","4.88731411721621","","0","0","","0.14762270673893","3.87617422585855","3.34687764399821","4.6","1.7","8.33147329221415E-02","","","","0","0","","0","0","","","0","0.147402460680243","0","0.189269910096657","0","0.247728725951497","0.104217304005513","0","0.28","0.046742748779774","0.35","0.108367968765286","0.356533189697938","0.06","0.44","0.08","2.63233205639782E-02","0","1","","","","","0.003","0","4.84147095122967E-04","0.953610611767089","0","0","4.17506776886852E-03","","","","","","","","","","","","","","","","","","","","","","","","","941705",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","L2 CENTRAL SEQUENCE","65.1040667","65.1040667","-50.16465","-50.16465","SAE","","","s_JEH-25 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","39.9","0.1","","8.32","0.63","","","6.78","3.29","30.19","0.12","","0","0","0","","","","","","","","","","","","","","","","10.74","","","","","","","","","","","","","","0.222853085559548","3.69005971788094E-02","","","","","","","","","","","","","20.8637698967417","","95.7392306449536","6028.86863291549","","","88","1234.21021840167","17.5148165747575","49.0553288756702","5.10459748359881","","0","0","","0.3","8.44119367061711","3.36425273615231","6.8","0.224624733076113","0","","","","0","0","","0","0","","","0","3.15567568652822","0.3","0.918789938248725","0.12","0.8","0.224186188951818","0","0.37","6.42232228613561E-02","0.63","0.120065383556192","0.386607483478965","0.08","0.69","7.38771956998508E-02","0.108986981064964","0","0","","","","","0.0033","0","5.80131174989784E-03","0.9","0","0","2.82074714225401E-02","","","","","","","","","","","","","","","","","","","","","","","","","941706",
"[19684]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN","DRILL CORE #6","65.09199","65.09199","-50.14136","-50.14136","SAE","","","s_879351 [19684]","BONINITE [19684]","3700000000 [19684]","","","ARCHEAN [19684]","","","","","VOL","","","","","WR [19684] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3204098151904E-03","3.25833199217484E-03","1.87990967392233E-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.02057322346208E-05","8.41515897405201E-04","2.73371077951368E-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941707",
"[19733]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT","SHORE OF LAKE 678 M","65.0897","65.0897","-50.1617","-50.1617","SAE","","","s_G93/24 [19733]","NOT GIVEN [19733]","3806000000 [19733]","3806000000 [19733]","EO [19733]","ARCHEAN [19733]","","","","","VOL","","","","","WR [19733] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","27","","","","","","","","105.8","38","8.1","115","4.01","","","","","","","","","","","","","399","29.74","54.1","6.24","26.67","4.1","1.157","2.93","0.368","1.75","0.287","0.804","0.11","0.674","0.108","3.23","0.689","","","","","","","","","13.41","","5.82","1.302","","","","","","","","","","","","","","","","","","","","","","","","","948063",
"[19733]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT","SHORE OF LAKE 678 M","65.0897","65.0897","-50.1617","-50.1617","SAE","","","s_G93/24 [19733]","NOT GIVEN [19733]","3806000000 [19733]","3806000000 [19733]","EO [19733]","ARCHEAN [19733]","","","","","VOL","","","","","WR [19733] ","62.577","0.557","","15.987","","4.621","","","4.466","2.102","0.078","","5.755","0.269","0.219","","","","","","","","","","","","","","","","3.1316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3838152513979","55.964052619322","","","","","","","","","","","","131.985160164101","45.9782216824303","10.7014941086498","146.447913100314","4.90444011193272","","","","","","","","","","","","","505.044036411733","33.176252747703","70.6862179652077","8.64577371612049","33.1847634635799","5.60218422746222","1.34109041055087","3.51299078753886","0.46998416984267","2.34060108520159","0.405945116239468","1.00907770462379","","0.922863932252498","0.133508849388772","3.78819878313723","0.880911297117956","","","","","","","","","","","7.13203186964699","1.30825311819631","","","","","","","","","","","","","","","","","","","","","","","","","948064",
"[19733]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT","SHORE OF LAKE 678 M","65.1578","65.1578","-49.8326","-49.8326","SAE","","","s_G04/68 [19733]","NOT GIVEN [19733]","3810000000 [19733]","3810000000 [19733]","EO [19733]","ARCHEAN [19733]","","","","","VOL","","","","","WR [19733] ","66.447","0.448","","14.832","","3.317","","","4.477","2.186","0.135","","4.712","0.115","0.144","","","","","","","","","","","","","","","","3.0586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7684506241269","47.0347232589107","","","","","","","","","","","","94.5470618483223","30.1337182273856","8.13313552257385","117.509103924803","4.35327446125838","","","","","","","","","","","","","63.5146658367696","23.1032400750021","49.0455160416677","5.73728762728733","21.6905995823399","3.69385165756784","0.943387737077162","2.50927913395633","0.361602076168259","1.71219067711245","0.308518288341996","0.740852776300712","","0.547384979424275","0.080105309633263","2.93760785266429","1.22374740108645","","","","","","","","","","","4.92791146772091","0.712653672280622","","","","","","","","","","","","","","","","","","","","","","","","","948065",
"[19733]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT","SHORE OF LAKE 678 M","65.1578","65.1578","-49.8326","-49.8326","SAE","","","s_G04/69 [19733]","NOT GIVEN [19733]","3810000000 [19733]","3810000000 [19733]","EO [19733]","ARCHEAN [19733]","","","","","VOL","","","","","WR [19733] ","66.712","0.548","","15.243","","3.353","","","3.833","1.886","0.158","","5.424","0.192","0.148","","","","","","","","","","","","","","","","2.3999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2633390960491","57.2100055533329","","","","","","","","","","","","99.7503229701763","21.0936027591699","9.2746282274965","110.49363503377","4.40932520539475","","","","","","","","","","","","","42.4114058974559","24.2121955986022","50.3601381211351","5.89665672804531","22.5248534124299","3.76942918508841","0.961885535843381","2.53665308814495","0.369484410253671","1.98541259367294","0.370763206165381","0.896957959665589","","1.022388473966","0.163656008928172","2.77099725803557","0.619346967114746","","","","","","","","","","","4.65015645772209","0.625436797734201","","","","","","","","","","","","","","","","","","","","","","","","","948066",
"[19733]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT","SHORE OF LAKE 678 M","65.096","65.096","-50.0065","-50.0065","SAE","","","s_248203 [19733]","NOT GIVEN [19733]","3810000000 [19733]","3810000000 [19733]","EO [19733]","ARCHEAN [19733]","","","","","VOL","","","","","WR [19733] ","68.915","0.437","","15.3","","0.687","","","0.84","0.694","0.015","","11.092","0.582","0.183","","","","","","","","","","","","","","","","1.0323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.1721517119809","29.4875527715908","","","","","","","","","","","","115.867741567139","18.0802309364314","5.48451573068303","137.678576986523","4.70826250745542","","","","","","","","","","","","","1230.34054306388","28.5556047327026","63.3041093651216","7.48038716682775","26.7888174328899","4.2323415411519","0.771358208551327","2.24466424346639","0.285734610596172","1.20217643286619","0.194853655794945","0.564911022674001","","0.521146691154352","7.57985725562059E-02","3.51636044453247","1.33584639965926","","","","","","","","","","","4.79351388223761","0.658716920916388","","","","","","","","","","","","","","","","","","","","","","","","","948067",
