"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1SP4 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","48.58","0.15","","4.09","0.36","","","8.96","3.44","33.79","0.17","0.21","0.09","0.15","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.655","","0.491","","","","","","","","","","","","16.403","879.7","58.332","2538","","","73.309","1658.5","","53.865","3.169","1.11","","","","7.75","54.17","4.644","12.667","0.38","","","","","","0.009","","","","","","1.052","6.115","0.58","1.397","0.212","1.047","0.371","0.129","0.542","0.108","0.72","0.164","0.504","0.076","0.528","0.077","0.413","0.023","2.443","","","","","","","","0.466","","0.135","0.025","","","","","","","","","","","","","","","","","","","","","","","","","1180974",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1SP51 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","47.22","0.24","","5.96","0.49","","","10.73","4.31","30.38","0.15","0.17","0.05","0.28","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.467","","0.336","","","","","","","","","","","","23.506","1438.98","101.053","3298","","","78.678","1415.3","","52.378","4.336","1.267","","","","5.38","69.582","7.442","14.847","0.457","","","","","","0.019","","","","","","1.091","5.411","0.915","2.353","0.361","1.897494","0.638879","0.168","0.882","0.17","1.134","0.259","0.789","0.113","0.826","0.122","0.476","0.035","0.125","","","","","","","","0.669","","0.18","0.028","0.512938","","","","","","","","","","","","","","","","","","","","","","","","1180975",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1SP52 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","47.15","0.24","","6","0.49","","","10.75","4.33","30.35","0.15","0.17","0.06","0.3","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.242","","0.458","","","","","","","","","","","","23.556","1445.9","102.199","3314.7","","","77.988","1389","","53.065","4.313","1.246","","","","5.99","83.52","7.426","15.195","0.542","","","","","","0.02","","","","","","1.091","5.453","0.916","2.348","0.357","1.726","0.596","0.163","0.873","0.173","1.12","0.252","0.782","0.114","0.877","0.122","0.461","0.037","0.131","","","","","","","","0.667","","0.182","0.028","","","","","","","","","","","","","","","","","","","","","","","","","1180976",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1SP7 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","47.25","0.24","","6.55","0.48","","","9.95","7.13","27.48","0.16","0.15","0.03","0.56","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.004","","0.327","","","","","","","","","","","","22.735","1428.24","90.659","3290.3","","","71.123","1300","","52.138","4.505","1.22","","","","3.96","103.01","5.981","14.429","0.531","","","","","","0.026","","","","","","0.152","4.104","0.931","2.119","0.34","1.73766","0.570523","0.141","0.753","0.146","0.998","0.217","0.66","0.1","0.775","0.109","0.422","0.036","1.845","","","","","","","","1.418","","0.201","0.025","0.512836","","","","","","","","","","","","","","","","","","","","","","","","1180977",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_RSP1 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","RANDOM SPINIFEX [21131] ","VOL","","","","","WR [21131] ","48.27","0.19","","5.41","0.42","","","9.18","5.45","30.4","0.17","0.19","0.04","0.28","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.821","","0.545","","","","","","","","","","","","19.231","1136.09","76.124","2818.8","","","77.1","1560.5","","54.332","3.901","1.136","","","","1.898","55.486","6.087","11.705","0.424","","","","","","0.019","","","","","","0.7","8.981","0.827","2.123","0.313","1.515","0.528","0.141","0.755","0.148","0.995","0.208","0.646","0.096","0.739","0.099","0.333","0.033","2.824","","","","","","","","0.734","","0.161","0.027","","","","","","","","","","","","","","","","","","","","","","","","","1180978",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_RSP3 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","RANDOM SPINIFEX [21131] ","VOL","","","","","WR [21131] ","47.73","0.22","","6.14","0.46","","","9.44","5.63","29.7","0.16","0.2","0.03","0.28","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.923","","0.584","","","","","","","","","","","","21.102","1302.28","91.78","3028.8","","","74.896","1638.1","","49.032","4.309","1.142","","","","4.74","58","5.549","13.723","0.45","","","","","","0.023","","","","","","0.692","6.641","0.806","2.054","0.31","1.657733","0.545744","0.145","0.707","0.138","0.897","0.2","0.605","0.09","0.708","0.1","0.41","0.029","0.101","","","","","","","","0.632","","0.181","0.025","0.512825","","","","","","","","","","","","","","","","","","","","","","","","1180979",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_PSP2 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","48.38","0.22","","5.43","0.45","","","9.18","5.14","30.5","0.17","0.2","0.04","0.27","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.752","","0.977","","","","","","","","","","","","20.982","1331.36","83.496","2971.7","","","80.113","1652.2","","58.846","3.688","1.151","","","","3.58","57.11","5.857","13.537","0.53","","","","","","0.032","","","","","","0.707","8.132","0.98","2.477","0.369","1.889951","0.594361","0.164","0.751","0.15","0.974","0.213","0.641","0.098","0.75","0.104","0.37","0.036","2.309","","","","","","","","0.677","","0.22","0.026","0.512722","","","","","","","","","","","","","","","","","","","","","","","","1180980",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_CU1SP2 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","48.95","0.21","","5.41","0.45","","","9.1","8.32","26.54","0.15","0.15","0.03","0.69","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.788","","0.406","","","","","","","","","","","","20.69","1260.92","83.484","3126.4","","","75.081","1318.8","","54.716","4.092","1.189","","","","3.97","73.62","8.799","18.21","0.929","","","","","","0.02","","","","","","0.161","4.874","1.819","4.416","0.642","2.856","0.827","0.221","1.125","0.215","1.412","0.3","0.917","0.137","1.022","0.146","0.569","0.06","0.13","","","","","","","","0.501","","0.361","0.059","","","","","","","","","","","","","","","","","","","","","","","","","1180981",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_CU2PSP2 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","46.46","0.25","","5.38","0.45","","","10.53","3.37","32.93","0.16","0.2","0.11","0.14","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.455","","0.994","","","","","","","","","","","","21.653","1479.89","95.298","3013","","","85.528","1589","","55.885","4.016","1.242","","","","8.43","49.98","5.959","14.151","0.623","","","","","","0.01","","","","","","2.159","10.811","0.707","1.815","0.29","1.491","0.517","0.127","0.764","0.147","0.933","0.21","0.637","0.094","0.734","0.108","0.417","0.036","0.217","","","","","","","","0.609","","0.169","0.028","","","","","","","","","","","","","","","","","","","","","","","","","1180982",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_CU2RSP1 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","RANDOM SPINIFEX [21131] ","VOL","","","","","WR [21131] ","46.52","0.23","","6.05","0.5","","","9.28","5.74","30.89","0.15","0.19","0.03","0.41","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.644","","0.771","","","","","","","","","","","","22.708","1356.28","98.829","3349.5","","","72.183","1553.9","","47.383","4.274","1.166","","","","3.57","70.15","6.489","16.807","0.452","","","","","","0.02","","","","","","0.373","3.492","0.855","2.027","0.315","1.532","0.532","0.175","0.788","0.151","1.024","0.221","0.668","0.1","0.792","0.108","0.462","0.026","1.67","","","","","","","","0.695","","0.176","0.025","","","","","","","","","","","","","","","","","","","","","","","","","1180983",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1SP1 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","50.22","0.18","","5.12","0.38","","","8.5","7.78","26.99","0.16","0.16","0.04","0.46","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.695","","2.924","","","","","","","","","","","","14.146","1093.58","81.551","2727.7","","","63.776","1386.1","","53.4","3.867","1.02","","","","1.108","61.23","6.239","7.523","0.633","","","","","","0.03","","","","","","0.735","17.168","1.15","2.732","0.393","1.783","0.582","0.174","0.802","0.148","1.004","0.235","0.699","0.106","0.806","0.113","0.333","0.046","2.427","","","","","","","","0.497","","0.254","0.051","","","","","","","","","","","","","","","","","","","","","","","","","1180984",
